experience,country,education,languages,frameworks,company_size,salary_usd
17,USA,Masters,"Java, Go","Vue, ASP.NET",201-1000,160771
24,USA,Bachelors,"Ruby, Swift","ASP.NET, Laravel",51-200,152117
10,UK,Bachelors,"Java, Go","React, React",1-10,76292
36,India,Some College,"Swift, Rust","Django, Flask",1001-5000,144828
23,France,Bachelors,"Python, C++","Flask, Vue",51-200,104940
26,Japan,PhD,"C#, Swift","Laravel, React",201-1000,125412
1,Brazil,Masters,"Python, Swift","Express, React",11-50,71440
23,Canada,Masters,"Swift, PHP","Django, Laravel",11-50,128238
25,UK,Bachelors,"Ruby, Swift","Flask, Django",5000+,148775
30,USA,Bachelors,"JavaScript, PHP","Spring, ASP.NET",5000+,199076
40,France,Bachelors,"Python, Swift","Vue, Laravel",5000+,187751
21,UK,Bachelors,"Python, Rust","Spring, ASP.NET",51-200,103039
40,USA,Masters,"Rust, Swift","React, Spring",1-10,207835
37,USA,Some College,"JavaScript, Ruby","Ruby on Rails, Ruby on Rails",1001-5000,161650
30,India,Masters,"Go, Python","Angular, Django",51-200,134577
29,India,Bachelors,"Java, C#","React, Angular",1-10,121236
10,UK,Bachelors,"Swift, Ruby","Vue, React",1001-5000,89070
15,India,Bachelors,"Swift, C#","React, Django",1001-5000,62525
5,Australia,Bachelors,"PHP, JavaScript","Express, Laravel",11-50,76238
16,France,Bachelors,"JavaScript, Ruby","Angular, Angular",201-1000,108055
13,Australia,Bachelors,"JavaScript, Java","Vue, Vue",1-10,73943
30,Germany,Masters,"Rust, C++","Django, Django",51-200,156561
19,Australia,Bachelors,"Ruby, Go","React, Flask",1001-5000,86503
26,France,Bachelors,"Python, Ruby","Vue, Vue",1-10,144298
34,India,Masters,"Go, JavaScript","Angular, Spring",11-50,144796
39,UK,Bachelors,"Python, Swift","React, Ruby on Rails",11-50,147529
23,USA,Bachelors,"Go, Java","ASP.NET, Angular",201-1000,132429
18,Australia,Bachelors,"JavaScript, C++","ASP.NET, Express",11-50,86000
9,USA,Masters,"C#, Python","Vue, Django",51-200,104890
17,Germany,PhD,"PHP, C#","Spring, Laravel",1-10,118679
13,USA,Bachelors,"Ruby, Swift","React, Vue",1001-5000,108069
39,India,Masters,"Swift, PHP","Ruby on Rails, Express",11-50,120647
4,USA,Masters,"C++, Java","Ruby on Rails, Ruby on Rails",1-10,93107
21,USA,Masters,"PHP, Ruby","Express, ASP.NET",11-50,185757
27,Canada,Bachelors,"Java, C#","Vue, Spring",5000+,127566
6,USA,Bachelors,"C#, Java","Ruby on Rails, ASP.NET",5000+,112504
4,USA,Bachelors,"Go, JavaScript","Ruby on Rails, Laravel",1001-5000,82163
9,France,Masters,"Swift, C++","Express, Express",201-1000,69635
37,USA,Masters,"C#, Java","Ruby on Rails, Django",201-1000,220033
34,Brazil,Bachelors,"Swift, Java","Vue, Angular",5000+,151769
33,USA,Masters,"Java, Rust","Django, Vue",1-10,212522
31,Germany,Bachelors,"PHP, Go","Angular, Vue",1-10,155965
6,Germany,Masters,"PHP, Ruby","Flask, Spring",1-10,102470
24,USA,Bachelors,"Swift, Swift","Flask, Ruby on Rails",1001-5000,147489
34,Germany,Masters,"Swift, Python","Flask, Angular",1-10,153723
39,India,Some College,"PHP, JavaScript","Vue, Angular",201-1000,107159
27,France,Masters,"C++, JavaScript","React, Angular",201-1000,149356
6,India,Bachelors,"Swift, Go","Express, Ruby on Rails",51-200,38659
15,USA,Bachelors,"Rust, C#","ASP.NET, Spring",1-10,127035
22,USA,Bachelors,"C#, Rust","Laravel, Django",1-10,144342
20,UK,Bachelors,"Ruby, C#","Flask, Angular",1-10,121943
25,Canada,Bachelors,"Go, PHP","Vue, Angular",11-50,114483
13,USA,Masters,"Java, C++","Vue, Vue",1001-5000,124098
20,USA,Masters,"C++, Rust","Angular, Spring",11-50,142688
37,UK,PhD,"Python, Ruby","ASP.NET, Django",5000+,175502
7,Canada,Bachelors,"Go, Java","ASP.NET, Vue",1001-5000,83051
25,Australia,Masters,"C#, Python","Ruby on Rails, Angular",11-50,133093
26,USA,Some College,"Go, Swift","Spring, Express",1001-5000,144909
38,USA,Bachelors,"Java, JavaScript","Laravel, React",51-200,183563
25,USA,Bachelors,"C#, C++","Angular, Flask",5000+,151375
24,USA,Bachelors,"PHP, Go","ASP.NET, Ruby on Rails",11-50,150527
32,Germany,Bachelors,"Rust, Ruby","ASP.NET, Ruby on Rails",5000+,136854
26,USA,Masters,"Ruby, Swift","Laravel, Angular",51-200,189287
12,USA,Masters,"C#, Swift","Laravel, Ruby on Rails",11-50,137954
7,Australia,Bachelors,"Rust, C#","Express, Laravel",11-50,71510
23,USA,Bachelors,"Java, Ruby","Flask, Flask",1001-5000,146988
21,Brazil,Some College,"Java, Python","ASP.NET, Angular",1-10,115102
12,Germany,Masters,"C++, Go","Laravel, Django",1-10,110278
26,USA,Masters,"Go, Swift","React, Spring",1001-5000,200697
32,Germany,Masters,"Ruby, Ruby","Vue, Flask",201-1000,139753
13,Japan,Masters,"Go, Python","React, Vue",1-10,97899
39,France,Bachelors,"C#, Go","Laravel, Laravel",1-10,137597
24,Canada,Masters,"Swift, Go","Spring, Vue",51-200,158091
4,UK,Bachelors,"C++, Go","Angular, ASP.NET",11-50,62708
6,India,High School,"C++, C++","Spring, ASP.NET",51-200,28759
22,USA,PhD,"Python, JavaScript","Express, Laravel",201-1000,197775
24,Australia,High School,"JavaScript, Go","Ruby on Rails, Spring",1-10,145963
29,India,Bachelors,"PHP, Swift","Django, Django",11-50,88325
9,USA,Bachelors,"C++, Ruby","Django, Flask",5000+,140256
4,India,Bachelors,"C#, JavaScript","Laravel, Express",1-10,22537
29,UK,Masters,"PHP, Swift","Flask, Express",51-200,136663
32,Japan,Bachelors,"JavaScript, Java","Flask, Angular",11-50,122730
35,Australia,Masters,"Ruby, Go","Flask, Laravel",5000+,174769
4,Canada,Masters,"Go, Java","Angular, Express",5000+,111378
32,India,Masters,"Python, Go","Spring, Angular",5000+,126760
40,India,Masters,"JavaScript, Go","Ruby on Rails, Express",11-50,161388
33,USA,Bachelors,"Rust, Java","Django, ASP.NET",1-10,205735
26,USA,Masters,"JavaScript, C#","Vue, Django",1001-5000,213414
23,India,Bachelors,"Rust, Python","ASP.NET, Express",51-200,69351
33,France,Masters,"Java, PHP","Express, Django",201-1000,153136
10,Canada,High School,"PHP, C++","Flask, Flask",51-200,85006
19,UK,Bachelors,"PHP, Rust","Express, Express",201-1000,112560
17,Canada,Masters,"PHP, Rust","Vue, React",1-10,127908
39,USA,Bachelors,"Rust, C++","Spring, Ruby on Rails",201-1000,182188
37,Australia,Masters,"PHP, Python","Laravel, Angular",11-50,151475
6,India,Masters,"Python, Go","React, Django",201-1000,45797
22,USA,High School,"C#, Go","Angular, Express",1001-5000,144358
4,Australia,Masters,"C++, JavaScript","Laravel, Angular",11-50,74577
37,USA,Bachelors,"Rust, PHP","Flask, Vue",11-50,187973
3,Germany,Bachelors,"Rust, PHP","Spring, Laravel",1-10,71684
4,Australia,Masters,"Rust, Ruby","Django, Spring",5000+,92555
1,Brazil,Bachelors,"C#, Ruby","Vue, Angular",1001-5000,60147
31,USA,Bachelors,"Java, PHP","Ruby on Rails, Spring",1-10,177420
25,USA,Masters,"Ruby, Go","Django, Flask",51-200,187256
21,UK,Bachelors,"Go, Swift","React, Django",201-1000,134854
36,India,Bachelors,"Go, Java","Ruby on Rails, Laravel",1001-5000,98839
16,USA,Bachelors,"Swift, C#","React, Laravel",11-50,154425
18,Brazil,Bachelors,"Go, JavaScript","Ruby on Rails, Spring",1001-5000,119537
4,USA,Bachelors,"PHP, PHP","Ruby on Rails, Laravel",51-200,111695
14,USA,Bachelors,"Ruby, Java","ASP.NET, Ruby on Rails",5000+,146252
25,France,Masters,"Python, Rust","Angular, Flask",1001-5000,133966
31,USA,Masters,"C#, Rust","Angular, Vue",201-1000,200918
37,Canada,Masters,"Ruby, Java","Angular, Flask",201-1000,176719
14,USA,Masters,"Rust, Go","Flask, Ruby on Rails",51-200,147315
31,France,Bachelors,"JavaScript, C++","ASP.NET, Express",5000+,136187
0,Japan,Bachelors,"C#, Python","Flask, Ruby on Rails",51-200,56393
32,India,Some College,"Java, C++","Vue, Ruby on Rails",11-50,121146
28,USA,Masters,"Java, Rust","Ruby on Rails, Express",51-200,185040
34,Japan,Some College,"Go, Ruby","Django, Ruby on Rails",51-200,162527
19,USA,Bachelors,"JavaScript, Python","React, Spring",201-1000,143855
26,USA,Bachelors,"Go, Python","Laravel, Vue",201-1000,146191
18,Brazil,Bachelors,"Swift, Java","Ruby on Rails, ASP.NET",11-50,120845
13,Germany,Bachelors,"JavaScript, C++","Express, React",51-200,83915
2,Australia,Some College,"Java, Java","React, Angular",1-10,49508
8,Germany,Bachelors,"Python, Swift","Express, Laravel",1001-5000,91033
15,USA,High School,"Swift, Java","Django, Vue",11-50,132916
40,USA,Bachelors,"Go, Java","Laravel, React",11-50,228429
22,USA,Bachelors,"C++, PHP","ASP.NET, Spring",51-200,142850
19,India,Masters,"Rust, Rust","ASP.NET, React",1001-5000,68399
9,USA,Bachelors,"Python, Rust","ASP.NET, Flask",1-10,128274
8,France,Masters,"Ruby, Python","ASP.NET, Ruby on Rails",5000+,98013
30,USA,PhD,"Rust, Go","Angular, Flask",1-10,179479
16,France,Masters,"C++, Python","React, Laravel",11-50,118286
5,USA,Bachelors,"Swift, PHP","React, Flask",1001-5000,122607
7,USA,Some College,"PHP, Swift","Laravel, Flask",5000+,145283
28,Japan,Bachelors,"PHP, Python","Flask, React",5000+,152511
30,UK,Bachelors,"JavaScript, C++","Vue, Ruby on Rails",5000+,150759
23,Canada,Bachelors,"Python, PHP","Spring, Ruby on Rails",1-10,113708
15,USA,Masters,"JavaScript, JavaScript","Flask, Flask",5000+,138204
5,USA,Some College,"Python, C++","React, Laravel",1-10,118091
5,India,Masters,"C++, C#","Angular, ASP.NET",201-1000,37608
23,USA,Bachelors,"Go, Go","Vue, Angular",201-1000,179711
21,Canada,PhD,"PHP, Go","Ruby on Rails, React",1001-5000,158132
30,USA,Bachelors,"Rust, Swift","Vue, Ruby on Rails",51-200,184515
40,USA,Bachelors,"Python, Go","Vue, Express",1001-5000,179255
37,USA,Bachelors,"JavaScript, Swift","Ruby on Rails, Ruby on Rails",1001-5000,227042
29,France,Masters,"Python, C#","Django, Flask",51-200,161723
36,Japan,Some College,"PHP, Swift","Laravel, Angular",1-10,137915
1,UK,Bachelors,"Swift, Ruby","ASP.NET, Spring",51-200,55555
26,Japan,Bachelors,"Rust, PHP","Ruby on Rails, React",11-50,112238
13,Germany,Bachelors,"Rust, Python","Flask, Express",51-200,102552
34,Germany,Masters,"Python, Ruby","Angular, Express",51-200,187318
7,Germany,Some College,"Go, Python","ASP.NET, ASP.NET",5000+,78585
3,Australia,Masters,"PHP, PHP","Django, ASP.NET",1-10,58005
25,USA,Some College,"Rust, Java","Angular, Django",51-200,185454
17,USA,Some College,"PHP, Rust","Angular, React",1001-5000,141260
7,France,Bachelors,"Java, Rust","Vue, ASP.NET",201-1000,71226
15,UK,Some College,"Go, C#","Angular, Laravel",51-200,118586
22,Canada,Masters,"Java, PHP","Spring, Laravel",11-50,157737
10,France,Bachelors,"C#, Ruby","Ruby on Rails, Vue",51-200,84544
37,USA,Bachelors,"JavaScript, Rust","Vue, Flask",51-200,176187
26,USA,Bachelors,"Swift, Ruby","Vue, React",51-200,162088
35,USA,Masters,"Go, Java","Angular, Ruby on Rails",11-50,183875
24,France,Bachelors,"JavaScript, JavaScript","Django, Angular",1-10,135395
21,Australia,Masters,"Swift, Go","React, Express",11-50,101029
18,Canada,Bachelors,"Ruby, C#","Ruby on Rails, Vue",1001-5000,109419
39,USA,Masters,"Python, Ruby","Ruby on Rails, Flask",1-10,197112
37,Canada,Bachelors,"Java, Swift","Ruby on Rails, Flask",201-1000,190702
14,USA,Bachelors,"JavaScript, Swift","React, Angular",1001-5000,136782
17,USA,Some College,"C#, Ruby","Angular, Flask",11-50,163119
8,Brazil,Masters,"Ruby, C++","ASP.NET, Flask",201-1000,71689
1,USA,Bachelors,"JavaScript, C#","Ruby on Rails, Django",1001-5000,90167
26,Japan,Bachelors,"C#, C#","Laravel, ASP.NET",51-200,148004
15,Japan,Masters,"Ruby, Java","Spring, ASP.NET",11-50,122966
19,India,Bachelors,"Java, Go","Ruby on Rails, Vue",11-50,79188
11,USA,Masters,"Go, Rust","Spring, Vue",201-1000,122005
17,Australia,Masters,"PHP, PHP","Ruby on Rails, React",5000+,142354
35,UK,Bachelors,"Java, Rust","Laravel, ASP.NET",11-50,172142
13,UK,High School,"PHP, Swift","Ruby on Rails, Laravel",1-10,111823
0,Australia,Bachelors,"JavaScript, Python","Angular, Django",1-10,55589
8,UK,Bachelors,"Go, Python","Spring, Spring",11-50,88726
20,UK,Masters,"Ruby, Go","Flask, Laravel",5000+,148924
11,Japan,Bachelors,"Swift, JavaScript","Django, ASP.NET",51-200,90870
16,Germany,Bachelors,"PHP, Python","Angular, Express",5000+,146480
27,USA,Bachelors,"C#, Swift","Spring, Vue",1-10,147415
8,USA,Bachelors,"C#, Python","Laravel, Django",11-50,93837
17,India,Bachelors,"PHP, Python","Express, Vue",1-10,75377
26,Australia,PhD,"Ruby, Swift","Django, Django",201-1000,164977
30,USA,Masters,"PHP, PHP","React, Ruby on Rails",201-1000,165873
16,USA,Bachelors,"Rust, PHP","Angular, Flask",1-10,164977
14,UK,Bachelors,"Java, Python","Angular, ASP.NET",11-50,122236
27,USA,PhD,"PHP, Python","Express, Vue",5000+,207523
3,UK,Masters,"Swift, C++","Spring, Spring",1001-5000,83918
15,Germany,Bachelors,"Go, C#","Spring, Vue",51-200,102581
32,India,Some College,"C#, Ruby","Django, React",11-50,119668
35,Canada,Bachelors,"Java, Python","Django, Angular",11-50,165836
24,USA,Bachelors,"Go, C++","Django, Angular",5000+,172439
31,India,High School,"Go, Rust","Laravel, Ruby on Rails",11-50,114504
35,Brazil,Masters,"PHP, Go","Express, ASP.NET",5000+,154695
7,USA,Bachelors,"Go, C++","Express, Express",1-10,94415
32,USA,Masters,"Python, Ruby","ASP.NET, Vue",51-200,219347
36,USA,Masters,"Python, C#","Ruby on Rails, Angular",201-1000,229239
11,USA,Bachelors,"Rust, PHP","Laravel, Laravel",1001-5000,106227
10,USA,Bachelors,"PHP, Ruby","Express, Express",11-50,131292
28,USA,PhD,"PHP, Rust","Laravel, React",201-1000,222626
24,India,Some College,"PHP, Java","Flask, Vue",11-50,96524
7,India,Bachelors,"Swift, JavaScript","ASP.NET, Spring",5000+,44279
25,USA,Bachelors,"Ruby, Ruby","Laravel, Angular",11-50,180249
20,India,Some College,"C++, Python","Laravel, Angular",11-50,87745
16,India,Some College,"Rust, Go","Express, React",11-50,56593
31,USA,Masters,"C#, Python","React, Django",11-50,172919
4,Canada,Masters,"Java, Go","Ruby on Rails, React",11-50,90141
9,USA,Bachelors,"Go, Rust","Spring, Laravel",1-10,126325
8,France,Masters,"Swift, JavaScript","Spring, Ruby on Rails",11-50,69147
36,Germany,Masters,"Ruby, C#","Express, ASP.NET",5000+,213534
25,India,Masters,"C++, C#","Vue, React",51-200,86643
13,Brazil,Bachelors,"C++, JavaScript","Ruby on Rails, Angular",5000+,121767
6,USA,Bachelors,"PHP, Swift","React, Spring",1001-5000,110226
3,USA,Bachelors,"C++, JavaScript","Spring, Express",51-200,95407
33,USA,PhD,"Ruby, JavaScript","Laravel, Laravel",201-1000,174790
12,India,Masters,"Python, Python","Laravel, Spring",1-10,70899
20,UK,Some College,"Go, C++","Laravel, Express",51-200,100885
21,USA,Bachelors,"PHP, C#","Laravel, Angular",1-10,130880
15,USA,Bachelors,"Rust, C#","React, ASP.NET",1001-5000,153560
6,USA,Bachelors,"Java, Java","Express, Angular",5000+,100884
5,Japan,Bachelors,"C#, Go","Spring, React",1001-5000,54385
18,USA,Masters,"Ruby, Rust","Spring, Ruby on Rails",1001-5000,146941
0,USA,Bachelors,"Go, PHP","Angular, Laravel",1001-5000,77412
22,USA,Bachelors,"C#, C++","Angular, Angular",11-50,167245
29,USA,Bachelors,"C++, C++","React, Django",11-50,156915
10,USA,Masters,"Go, Python","Spring, React",51-200,130343
33,Germany,Masters,"Rust, Go","Vue, Ruby on Rails",201-1000,143916
18,Japan,Masters,"C#, PHP","Django, Spring",1-10,103782
22,Singapore,Masters,"C#, PHP","Flask, ASP.NET",1-10,109472
38,UK,Bachelors,"JavaScript, Go","Laravel, Django",1-10,171270
20,Brazil,Masters,"C++, C++","Angular, Spring",5000+,143615
23,USA,Masters,"Java, Java","Ruby on Rails, Express",1001-5000,184718
34,Singapore,Bachelors,"C++, Swift","Express, Laravel",201-1000,123376
8,USA,Bachelors,"Ruby, Swift","Django, React",5000+,144499
1,USA,Masters,"C#, C++","Spring, Django",1001-5000,117894
26,Australia,Bachelors,"Ruby, JavaScript","Ruby on Rails, Vue",11-50,138457
28,Germany,Bachelors,"Ruby, Rust","Vue, Laravel",201-1000,165840
3,USA,Masters,"JavaScript, Go","ASP.NET, Flask",5000+,114122
29,Germany,Bachelors,"Java, Swift","ASP.NET, Vue",1001-5000,164708
18,USA,Masters,"JavaScript, Ruby","React, Django",1001-5000,163217
15,UK,Masters,"C#, Rust","Django, ASP.NET",51-200,124388
21,USA,Masters,"C++, C#","Flask, Express",201-1000,180315
40,India,Bachelors,"Swift, Rust","Vue, React",51-200,124997
33,USA,High School,"C#, PHP","Laravel, Flask",11-50,179268
14,USA,Masters,"Python, Rust","Ruby on Rails, ASP.NET",5000+,137782
36,Germany,Bachelors,"JavaScript, PHP","Vue, Angular",5000+,177042
33,USA,Bachelors,"Python, Rust","Angular, Ruby on Rails",201-1000,151520
7,UK,Bachelors,"JavaScript, JavaScript","Django, Ruby on Rails",5000+,91135
15,Singapore,Bachelors,"Swift, PHP","Angular, Laravel",11-50,103591
5,USA,Masters,"Swift, PHP","React, Flask",5000+,126637
20,Australia,Masters,"C++, Python","Flask, Angular",11-50,130597
22,USA,PhD,"Go, Swift","Django, ASP.NET",1-10,152564
40,USA,Bachelors,"Swift, Go","Flask, Flask",1-10,248747
38,Germany,PhD,"C++, Rust","Laravel, React",1001-5000,188474
32,USA,Masters,"Python, PHP","ASP.NET, ASP.NET",1-10,222128
32,UK,Masters,"C++, C#","Laravel, Laravel",1001-5000,156259
1,USA,High School,"Swift, C++","Ruby on Rails, Laravel",1001-5000,80621
22,Singapore,Bachelors,"Ruby, Swift","ASP.NET, Spring",1001-5000,102142
28,Germany,Some College,"JavaScript, JavaScript","Ruby on Rails, Django",51-200,122272
20,Canada,Bachelors,"Rust, C#","Vue, Ruby on Rails",1001-5000,131161
34,UK,Bachelors,"Rust, C++","Laravel, ASP.NET",1-10,132665
31,Germany,Bachelors,"Java, Rust","Django, Django",51-200,169183
23,USA,Masters,"Swift, Ruby","Ruby on Rails, Angular",1001-5000,165244
12,India,Masters,"C++, Swift","Ruby on Rails, Express",1001-5000,51039
27,USA,Some College,"Python, Python","Vue, Laravel",1001-5000,185526
21,Canada,Masters,"Java, JavaScript","Angular, React",51-200,138765
1,Canada,Bachelors,"Python, PHP","ASP.NET, ASP.NET",5000+,76952
36,Australia,Bachelors,"Swift, C#","Spring, ASP.NET",201-1000,158432
38,UK,Masters,"Python, Swift","Ruby on Rails, Spring",1-10,165905
40,UK,Bachelors,"Swift, Rust","Ruby on Rails, Vue",1-10,196627
35,Germany,Masters,"Java, Python","Ruby on Rails, Angular",201-1000,182816
14,Australia,Bachelors,"Go, C#","ASP.NET, ASP.NET",1001-5000,83029
2,USA,Masters,"Java, Ruby","ASP.NET, Laravel",201-1000,109117
29,USA,Bachelors,"C#, Ruby","Express, Express",51-200,149811
13,Singapore,High School,"Swift, Swift","ASP.NET, Ruby on Rails",5000+,116466
5,Brazil,Masters,"JavaScript, C++","Django, React",51-200,70980
35,Japan,Some College,"JavaScript, C#","Angular, Spring",1-10,141518
40,USA,Masters,"Swift, Rust","Laravel, React",51-200,225288
8,USA,Bachelors,"C++, C#","Spring, Laravel",51-200,126027
9,Australia,Masters,"Java, PHP","Laravel, Flask",1001-5000,91289
4,France,Bachelors,"Go, Python","ASP.NET, React",5000+,76532
13,India,PhD,"C++, C++","React, React",51-200,64282
26,USA,Bachelors,"C#, Go","Ruby on Rails, Ruby on Rails",11-50,144275
7,India,Bachelors,"Python, C#","Django, Django",51-200,35110
29,Canada,Bachelors,"PHP, Swift","Express, Laravel",51-200,125360
11,USA,Masters,"Swift, Rust","Spring, ASP.NET",11-50,113532
32,Singapore,Some College,"C++, C#","Flask, Laravel",11-50,173273
15,USA,Some College,"Rust, Ruby","Angular, Flask",51-200,125612
35,Singapore,Bachelors,"Ruby, PHP","ASP.NET, Spring",11-50,172531
3,India,Masters,"Swift, Java","Angular, Ruby on Rails",1001-5000,28085
28,UK,Bachelors,"C#, PHP","Express, Express",51-200,116638
15,Japan,Bachelors,"Python, C#","React, Flask",1001-5000,101103
39,UK,Bachelors,"Ruby, C#","Angular, Laravel",51-200,142043
38,UK,Bachelors,"Go, C++","Laravel, Flask",1-10,162485
9,France,Masters,"Go, PHP","Laravel, ASP.NET",1-10,87055
16,India,Masters,"Go, Swift","Express, Laravel",51-200,78347
18,India,Masters,"JavaScript, Ruby","Ruby on Rails, Flask",1-10,86288
17,Canada,PhD,"Java, Ruby","Flask, Ruby on Rails",51-200,142122
18,USA,Bachelors,"Swift, Ruby","Ruby on Rails, Django",5000+,175284
26,Australia,Masters,"Rust, Ruby","Laravel, Flask",11-50,121598
16,USA,Masters,"Go, C#","React, React",201-1000,128736
40,Germany,Bachelors,"Go, Python","Django, Laravel",201-1000,161689
33,USA,Bachelors,"Rust, PHP","React, Django",1-10,193203
6,Brazil,Some College,"Python, JavaScript","Laravel, Vue",51-200,69514
35,UK,Bachelors,"Ruby, Rust","Laravel, Spring",5000+,161434
6,USA,Masters,"C#, PHP","Spring, Spring",1-10,97526
19,USA,High School,"Java, Ruby","React, Laravel",201-1000,160106
8,Singapore,Bachelors,"C++, Rust","Laravel, Laravel",201-1000,85567
30,USA,Masters,"PHP, Python","Vue, Ruby on Rails",201-1000,172619
23,USA,High School,"Go, JavaScript","Vue, Ruby on Rails",1-10,185613
40,UK,Bachelors,"Ruby, JavaScript","ASP.NET, Django",5000+,206167
32,UK,Bachelors,"Python, PHP","Express, Spring",1-10,144175
8,USA,Masters,"Python, Python","ASP.NET, ASP.NET",51-200,100058
32,USA,Bachelors,"Ruby, Go","Laravel, React",1001-5000,150338
10,USA,High School,"Swift, C++","Laravel, Ruby on Rails",1001-5000,116652
7,Germany,Bachelors,"Swift, Rust","Ruby on Rails, Laravel",51-200,71788
28,Germany,Bachelors,"Python, Java","Laravel, Ruby on Rails",51-200,166916
40,Canada,Bachelors,"Swift, JavaScript","ASP.NET, Vue",1-10,186365
20,USA,PhD,"Go, PHP","Angular, ASP.NET",1001-5000,137476
31,Canada,Bachelors,"Swift, C++","Express, Vue",1-10,169014
15,Germany,Masters,"Rust, Swift","ASP.NET, React",51-200,100926
4,Canada,Masters,"Java, Java","Ruby on Rails, Django",51-200,84581
14,Canada,Some College,"C#, C#","Laravel, Vue",51-200,85978
9,USA,Masters,"PHP, Go","Laravel, Vue",11-50,117172
32,USA,High School,"C#, Java","Spring, Laravel",51-200,208580
0,Canada,Masters,"Ruby, Go","Laravel, ASP.NET",1001-5000,78975
6,UK,Bachelors,"C#, Java","Django, Django",51-200,93047
25,France,Bachelors,"C++, Swift","React, Ruby on Rails",11-50,132457
1,UK,Masters,"Rust, Java","Django, Angular",1-10,70526
22,India,Masters,"Java, JavaScript","Ruby on Rails, Ruby on Rails",1-10,105894
39,USA,High School,"C#, C++","React, Express",1-10,198107
3,UK,Masters,"Java, JavaScript","Spring, React",5000+,100033
4,USA,Bachelors,"C#, Ruby","Django, Django",11-50,98967
17,Germany,Masters,"JavaScript, Rust","Ruby on Rails, Flask",1-10,121914
32,Australia,Masters,"JavaScript, JavaScript","ASP.NET, Vue",5000+,190034
4,USA,Masters,"Java, JavaScript","Spring, Spring",11-50,121777
31,USA,Bachelors,"PHP, Rust","Angular, Angular",1001-5000,203564
39,USA,High School,"C#, JavaScript","ASP.NET, Laravel",11-50,202289
23,UK,Some College,"Python, C#","Ruby on Rails, Spring",11-50,135506
9,USA,Masters,"Java, Swift","ASP.NET, Django",51-200,151192
21,USA,Masters,"PHP, JavaScript","Angular, React",201-1000,152504
17,UK,Some College,"Swift, Rust","Django, Express",1001-5000,103691
10,India,Bachelors,"PHP, Python","Spring, Express",5000+,50969
29,USA,Masters,"Go, Swift","Django, Flask",5000+,163687
23,USA,High School,"Rust, Rust","ASP.NET, Spring",201-1000,190395
17,Singapore,Bachelors,"Swift, Java","Laravel, Express",1-10,96527
22,Canada,Some College,"Ruby, PHP","Django, Ruby on Rails",1001-5000,145257
0,Japan,Bachelors,"C#, Ruby","ASP.NET, React",1-10,50982
14,USA,Bachelors,"Rust, C#","React, ASP.NET",51-200,146651
18,Canada,Some College,"Python, Ruby","Spring, Express",11-50,98854
19,Canada,Bachelors,"PHP, Python","Ruby on Rails, Django",11-50,112871
36,Australia,Some College,"Java, Python","Vue, Laravel",1-10,154346
40,Canada,Masters,"C++, Ruby","Laravel, Vue",1001-5000,162564
9,USA,Masters,"Python, JavaScript","React, ASP.NET",201-1000,108910
6,Singapore,Bachelors,"Java, Python","Express, Vue",51-200,76264
16,USA,Bachelors,"Python, PHP","React, ASP.NET",5000+,132620
32,India,Bachelors,"Ruby, Swift","Angular, ASP.NET",51-200,121611
38,Germany,Some College,"Swift, C++","ASP.NET, Spring",51-200,174349
26,Japan,Masters,"PHP, Python","Flask, Spring",51-200,157934
9,USA,Masters,"Swift, C#","Flask, Laravel",1-10,122046
33,France,Bachelors,"PHP, C++","Express, Django",1-10,160988
26,USA,Bachelors,"Go, JavaScript","ASP.NET, ASP.NET",1001-5000,192215
36,Germany,Masters,"C#, Swift","ASP.NET, Spring",1-10,163872
33,USA,PhD,"PHP, C#","Angular, Flask",11-50,248638
8,USA,Bachelors,"Java, JavaScript","Ruby on Rails, Express",201-1000,131848
1,India,Bachelors,"Rust, Rust","Ruby on Rails, Ruby on Rails",201-1000,17903
18,France,Masters,"Java, Go","Ruby on Rails, React",11-50,123134
22,India,Bachelors,"C++, Java","Flask, Flask",1001-5000,77834
40,UK,Masters,"PHP, Go","React, Spring",1-10,156594
17,USA,Bachelors,"Rust, Go","Angular, Angular",11-50,142031
40,Germany,Bachelors,"Rust, Ruby","Flask, Laravel",5000+,213693
5,India,Bachelors,"Rust, PHP","Angular, React",5000+,38790
25,Canada,Some College,"Ruby, Ruby","Flask, Express",11-50,143016
27,Australia,PhD,"C++, Java","ASP.NET, Laravel",201-1000,131912
16,India,Masters,"Swift, Python","Django, Laravel",1-10,64307
24,USA,Bachelors,"PHP, C++","ASP.NET, Vue",11-50,138913
0,India,Some College,"JavaScript, Python","Vue, React",51-200,17914
12,USA,Bachelors,"Python, Python","Flask, ASP.NET",51-200,136171
34,USA,Some College,"JavaScript, Go","Flask, Ruby on Rails",1-10,190028
19,USA,Masters,"Python, C++","Ruby on Rails, Flask",1-10,139593
37,USA,Some College,"Java, Go","Angular, Flask",201-1000,218256
2,Canada,Bachelors,"C#, Ruby","Ruby on Rails, ASP.NET",1-10,77720
10,Germany,Bachelors,"Java, C#","Spring, Spring",11-50,79671
30,Canada,Some College,"C#, Rust","React, Django",5000+,146342
29,France,Some College,"Python, Swift","Express, Angular",201-1000,135796
29,USA,Masters,"Swift, Go","Ruby on Rails, Spring",201-1000,196965
29,Canada,Bachelors,"Java, Swift","Angular, Flask",11-50,120448
26,USA,Bachelors,"C#, C#","Angular, Flask",5000+,154678
